Date,Open,High,Low,Close,Volume
2025-10-01,1645.61,1657.94,1645.17,1650.0,1572331
2025-10-02,1646.88,1682.53,1645.39,1668.08,231313
2025-10-03,1668.67,1670.38,1623.32,1637.28,425675
2025-10-06,1633.95,1647.99,1633.1,1646.69,288968
2025-10-07,1643.63,1650.12,1639.95,1647.38,1629073
2025-10-08,1641.44,1664.15,1634.38,1660.41,1660125
2025-10-09,1662.1,1676.72,1657.58,1664.25,1090665
2025-10-10,1662.37,1695.34,1653.54,1682.49,544096
2025-10-13,1683.5,1684.21,1674.94,1682.81,1755603
2025-10-14,1682.6,1688.33,1676.51,1677.6,1217964
2025-10-15,1677.9,1689.97,1676.16,1683.44,1348171
2025-10-16,1683.46,1700.83,1682.94,1687.81,507772
2025-10-17,1691.05,1698.04,1682.69,1684.19,950272
2025-10-20,1687.08,1689.3,1676.86,1681.7,665546
2025-10-21,1676.92,1690.23,1669.61,1688.96,1213830
2025-10-22,1688.69,1700.19,1676.61,1696.09,925967
2025-10-23,1701.08,1703.65,1684.95,1691.07,1235337
2025-10-24,1693.75,1697.96,1685.5,1687.33,1525872
2025-10-27,1680.57,1681.37,1664.76,1669.04,1434494
2025-10-28,1666.98,1697.61,1661.18,1685.86,610900
2025-10-29,1683.43,1693.84,1673.63,1683.59,1452510
2025-10-30,1677.26,1704.17,1669.59,1697.1,286024
2025-10-31,1699.11,1702.11,1695.92,1701.35,1957102
2025-11-03,1695.34,1722.07,1686.42,1721.19,1983488
2025-11-04,1725.99,1739.12,1725.44,1737.07,1839956
2025-11-05,1738.45,1748.67,1735.41,1740.39,992626
2025-11-06,1738.8,1766.35,1737.72,1755.85,1506812
2025-11-07,1752.99,1757.6,1743.96,1745.84,721943
2025-11-10,1745.71,1759.71,1734.37,1759.02,221867
2025-11-11,1757.77,1759.8,1731.21,1743.4,1792648
2025-11-12,1741.95,1748.26,1738.83,1746.99,754328
2025-11-13,1745.29,1759.63,1740.04,1758.15,922624
2025-11-14,1764.95,1771.13,1751.63,1760.51,631687
2025-11-17,1763.38,1771.26,1750.66,1756.63,1671785
2025-11-18,1758.93,1761.4,1737.96,1748.14,820770
2025-11-19,1745.08,1749.06,1739.43,1744.55,1391200
2025-11-20,1743.82,1761.57,1737.21,1755.55,908683
2025-11-21,1753.24,1766.83,1751.51,1764.93,1019172
2025-11-24,1763.37,1773.69,1747.06,1762.16,755160
2025-11-25,1763.39,1764.15,1747.39,1748.98,1706870
2025-11-26,1749.45,1761.26,1746.38,1756.05,446014
2025-11-27,1756.75,1759.24,1734.37,1740.78,919877
2025-11-28,1740.65,1741.25,1734.51,1735.23,1411658
2025-12-01,1734.03,1747.67,1723.78,1727.58,1614159
2025-12-02,1725.6,1744.41,1725.2,1735.29,1771053
2025-12-03,1733.97,1742.43,1731.32,1737.74,1124062
2025-12-04,1745.3,1747.95,1737.92,1742.56,1036278
2025-12-05,1749.56,1750.4,1744.71,1745.41,1175537
2025-12-08,1749.23,1749.58,1738.18,1738.31,1201423
2025-12-09,1740.09,1747.85,1727.96,1743.89,965424
2025-12-10,1745.76,1765.48,1741.36,1758.67,1554948
2025-12-11,1760.44,1770.15,1745.59,1758.28,1496653
2025-12-12,1756.6,1765.1,1751.08,1764.97,646891
2025-12-15,1762.23,1768.22,1761.77,1763.63,625729
2025-12-16,1761.94,1782.61,1747.81,1774.52,840162
2025-12-17,1773.28,1784.74,1769.6,1781.62,430621
2025-12-18,1779.94,1791.74,1776.19,1790.98,1521241
2025-12-19,1789.22,1810.04,1787.57,1794.72,1034499
2025-12-22,1800.02,1813.66,1799.0,1812.38,405299
2025-12-23,1816.32,1816.75,1807.44,1808.46,1178028
2025-12-24,1808.65,1813.07,1802.5,1804.83,1138417
2025-12-25,1803.95,1804.86,1792.12,1798.42,652112
2025-12-26,1805.14,1815.17,1802.18,1805.01,1276198
2025-12-29,1805.49,1806.19,1797.14,1798.27,518573
2025-12-30,1796.93,1809.53,1783.63,1791.32,1247112
2025-12-31,1790.74,1804.03,1790.05,1799.14,927970
2026-01-01,1799.7,1813.99,1793.48,1811.68,292765
2026-01-02,1810.73,1823.76,1805.13,1817.92,397395
