Date,Open,High,Low,Close,Volume
2025-10-01,1103.51,1107.46,1098.0,1100.0,927044
2025-10-02,1102.17,1115.14,1091.76,1104.8,1298888
2025-10-03,1105.9,1106.08,1089.58,1094.82,785084
2025-10-06,1093.76,1098.04,1076.05,1079.72,1078865
2025-10-07,1080.57,1083.25,1049.2,1053.16,237023
2025-10-08,1055.18,1056.21,1047.38,1048.92,1637774
2025-10-09,1049.72,1064.34,1047.44,1058.13,1679435
2025-10-10,1062.31,1067.8,1055.79,1057.14,570030
2025-10-13,1057.05,1060.77,1050.28,1060.2,1761939
2025-10-14,1057.78,1069.57,1048.43,1067.61,488332
2025-10-15,1060.72,1062.84,1053.71,1058.79,1208139
2025-10-16,1059.27,1082.54,1058.12,1079.99,448552
2025-10-17,1081.03,1084.56,1069.72,1071.12,232666
2025-10-20,1069.61,1075.93,1065.82,1073.03,563442
2025-10-21,1073.07,1100.31,1066.35,1095.26,948284
2025-10-22,1096.74,1098.03,1088.46,1092.95,887201
2025-10-23,1090.29,1095.23,1089.21,1092.63,242954
2025-10-24,1093.03,1094.43,1079.47,1086.85,1169461
2025-10-27,1087.17,1088.85,1082.55,1088.45,1468124
2025-10-28,1086.11,1092.35,1064.53,1068.63,945648
2025-10-29,1066.61,1068.74,1055.74,1061.82,282962
2025-10-30,1063.02,1077.11,1058.39,1074.93,1378162
2025-10-31,1078.55,1082.8,1073.85,1075.46,856837
2025-11-03,1076.47,1078.55,1067.73,1072.1,1118948
2025-11-04,1073.53,1078.26,1070.15,1074.01,734297
2025-11-05,1076.7,1084.75,1073.07,1076.29,1038689
2025-11-06,1076.54,1080.82,1071.64,1076.31,599780
2025-11-07,1075.12,1081.33,1069.26,1080.0,967525
2025-11-10,1079.96,1084.07,1062.56,1064.36,1796355
2025-11-11,1066.5,1068.69,1066.27,1068.12,1187655
2025-11-12,1067.27,1072.87,1060.26,1061.08,1763751
2025-11-13,1059.61,1068.01,1053.86,1066.48,929230
2025-11-14,1067.75,1075.18,1061.14,1065.02,1492323
2025-11-17,1068.43,1070.04,1047.77,1055.23,732450
2025-11-18,1056.12,1057.42,1046.9,1053.36,1415606
2025-11-19,1054.99,1059.16,1041.6,1043.61,263429
2025-11-20,1041.76,1056.54,1040.98,1050.81,1320138
2025-11-21,1047.5,1052.95,1043.66,1049.31,1238171
2025-11-24,1043.68,1060.59,1041.86,1055.21,559694
2025-11-25,1054.99,1055.01,1038.82,1044.53,1628732
2025-11-26,1046.38,1058.83,1042.94,1056.81,1573301
2025-11-27,1057.52,1059.36,1052.04,1053.0,1549769
2025-11-28,1050.68,1066.21,1050.54,1063.24,1881464
2025-12-01,1064.32,1070.7,1062.23,1069.22,1924762
2025-12-02,1066.14,1067.38,1058.0,1058.52,1595734
2025-12-03,1059.82,1060.95,1047.73,1059.99,1140666
2025-12-04,1058.82,1062.24,1048.5,1054.12,1017042
2025-12-05,1052.38,1060.51,1049.63,1056.31,1682012
2025-12-08,1055.49,1069.83,1051.63,1067.14,1104154
2025-12-09,1065.92,1077.0,1061.7,1071.74,1522219
2025-12-10,1069.5,1079.9,1068.35,1079.61,1093175
2025-12-11,1081.96,1085.83,1062.66,1068.2,650745
2025-12-12,1069.11,1073.16,1060.12,1068.66,1714181
2025-12-15,1072.14,1076.78,1069.78,1070.45,1999683
2025-12-16,1068.72,1081.82,1066.95,1078.49,1402741
2025-12-17,1082.06,1085.78,1064.36,1071.85,1509211
2025-12-18,1075.81,1078.67,1071.52,1075.44,1114124
2025-12-19,1074.28,1078.29,1071.47,1077.84,884872
2025-12-22,1077.02,1077.05,1059.68,1063.41,531584
2025-12-23,1062.78,1063.34,1051.65,1053.28,1659624
2025-12-24,1052.15,1056.68,1045.29,1055.77,696948
2025-12-25,1056.24,1061.15,1043.21,1044.56,1545014
2025-12-26,1042.43,1043.0,1032.74,1033.06,1980797
2025-12-29,1034.82,1042.69,1033.94,1039.22,1462069
2025-12-30,1039.79,1042.17,1035.48,1040.34,877985
2025-12-31,1037.26,1042.26,1036.3,1037.14,1952111
2026-01-01,1035.65,1037.01,1027.41,1036.77,1510953
2026-01-02,1040.1,1042.79,1031.98,1032.17,358365
2026-01-05,1032.91,1040.09,1019.84,1026.5,1324214
2026-01-06,1027.56,1030.52,1019.47,1021.48,990357
2026-01-07,1022.35,1027.38,1022.22,1023.41,1485255
2026-01-08,1021.58,1035.58,1014.51,1033.0,292361
2026-01-09,1032.48,1034.12,1023.09,1027.87,1160315
2026-01-12,1025.01,1026.97,1024.78,1026.07,1370879
2026-01-13,1024.17,1027.58,1016.98,1023.05,904893
2026-01-14,1021.32,1022.24,1010.98,1011.51,230868
2026-01-15,1010.25,1016.64,1005.91,1012.34,476907
2026-01-16,1009.87,1018.72,1007.62,1018.14,802530
2026-01-19,1025.45,1027.09,1007.53,1010.05,598695
2026-01-20,1008.31,1018.43,1001.98,1015.57,309208
2026-01-21,1013.76,1018.31,1009.14,1009.7,911127
2026-01-22,1011.91,1020.42,1010.14,1017.79,1284980
2026-01-23,1016.52,1030.44,1016.34,1026.47,625753
2026-01-26,1028.16,1031.41,1019.53,1022.09,408947
2026-01-27,1028.31,1030.58,999.8,1004.5,775385
2026-01-28,1003.32,1004.51,993.09,1000.5,1897748
2026-01-29,998.2,1001.04,987.68,988.17,1401333
2026-01-30,991.8,993.36,973.77,976.59,1489317
2026-02-02,979.08,979.72,971.07,973.44,648574
2026-02-03,972.71,986.24,969.57,982.87,706953
2026-02-04,983.15,986.87,978.57,980.96,1885840
2026-02-05,975.55,981.45,975.0,978.06,1638553
2026-02-06,980.62,984.06,959.96,962.41,1568042
2026-02-09,961.46,963.66,947.64,956.59,1055871
2026-02-10,958.36,959.15,942.51,944.76,1055120
2026-02-11,945.32,950.8,945.03,947.56,1628929
2026-02-12,948.21,950.68,940.83,942.42,894211
2026-02-13,944.75,948.95,938.07,940.96,1055763
2026-02-16,937.36,939.8,930.39,939.7,1343519
2026-02-17,941.54,943.89,935.67,937.17,1736252
2026-02-18,938.77,945.89,937.72,943.18,484999
2026-02-19,944.9,952.6,942.64,945.72,1179103
2026-02-20,942.9,943.13,941.32,942.17,1825640
2026-02-23,942.52,943.7,935.53,942.2,1960714
2026-02-24,943.37,945.65,940.73,945.24,1010432
2026-02-25,948.56,959.34,945.3,954.47,897960
2026-02-26,956.3,962.35,954.14,954.32,1557547
2026-02-27,953.18,967.54,951.67,964.22,1156999
2026-03-02,967.29,972.42,957.28,958.48,601446
2026-03-03,959.59,960.97,953.59,955.54,1500736
2026-03-04,956.21,963.02,939.14,943.02,1118775
2026-03-05,942.37,951.68,939.4,948.09,486305
2026-03-06,951.0,951.14,936.36,939.12,564952
2026-03-09,939.82,948.08,927.1,930.24,726012
2026-03-10,930.05,937.49,926.53,935.39,406885
2026-03-11,936.65,942.09,926.17,930.28,291074
2026-03-12,928.39,928.41,919.42,923.56,255643
2026-03-13,924.33,931.3,924.0,929.49,1441184
2026-03-16,929.6,931.12,924.63,927.01,1227845
2026-03-17,928.92,934.97,925.29,932.72,1705669
2026-03-18,932.94,938.09,926.51,928.6,664400
2026-03-19,932.32,933.83,926.52,932.88,778090
2026-03-20,931.44,947.43,929.14,939.81,1071296
2026-03-23,939.56,945.31,939.28,939.3,972372
2026-03-24,939.25,956.89,938.66,951.69,1023896
2026-03-25,951.31,951.81,946.68,947.53,1833061
2026-03-26,949.0,950.3,943.98,944.79,601603
2026-03-27,944.57,946.61,938.2,944.26,464934
2026-03-30,943.59,953.41,942.34,950.72,783195
2026-03-31,948.14,948.75,945.73,947.39,1258191
2026-04-01,949.66,950.58,941.46,942.95,1717127
2026-04-02,939.46,947.59,936.44,943.73,1156124
2026-04-03,948.3,955.63,948.21,952.03,1085251
2026-04-06,952.0,952.43,942.18,947.72,441477
2026-04-07,946.22,946.99,936.39,936.89,1575428
2026-04-08,935.13,937.28,933.26,934.79,1615509
2026-04-09,932.46,938.36,929.17,938.33,313649
2026-04-10,938.84,943.57,928.14,933.13,1286251
2026-04-13,933.22,936.43,930.63,932.94,1943399
2026-04-14,935.93,938.51,914.91,917.87,217028
2026-04-15,917.47,925.72,915.86,922.16,623683
2026-04-16,921.55,930.65,913.89,927.07,1878459
2026-04-17,927.02,936.85,923.7,935.85,1827623
2026-04-20,935.59,943.82,933.02,942.38,380998
2026-04-21,943.58,955.74,942.79,952.44,1390511
2026-04-22,956.2,959.79,945.47,949.15,1133193
2026-04-23,950.46,962.01,950.46,958.43,1155338
2026-04-24,956.21,959.62,946.54,950.09,1416192
2026-04-27,948.89,956.39,944.14,949.82,1850926
2026-04-28,950.0,965.68,949.09,962.5,1539802
2026-04-29,963.26,975.8,960.97,973.39,845146
2026-04-30,968.0,968.45,961.54,963.34,1679769
2026-05-01,963.44,973.27,959.88,972.21,1230616
2026-05-04,973.18,978.12,970.44,973.23,1125738
2026-05-05,976.55,978.65,970.16,971.56,593668
2026-05-06,971.05,977.6,969.95,977.52,1069083
2026-05-07,977.46,984.79,975.44,982.92,812743
2026-05-08,980.84,999.52,980.14,998.31,1408075
2026-05-11,997.17,999.75,990.99,991.29,1925942
2026-05-12,988.19,993.49,987.47,992.35,1568368
2026-05-13,992.53,1001.42,988.73,995.68,366073
2026-05-14,998.74,1000.04,985.02,985.5,1289061
2026-05-15,984.74,1001.05,979.28,999.19,230468
2026-05-18,1000.72,1023.73,1000.19,1017.72,1722998
2026-05-19,1021.45,1023.4,1015.96,1017.21,585915
2026-05-20,1015.66,1033.21,1010.23,1024.89,1112767
2026-05-21,1022.93,1028.18,1020.02,1027.3,1087521
2026-05-22,1026.42,1034.61,1026.23,1034.14,810515
2026-05-25,1033.9,1036.14,1031.58,1033.21,353956
2026-05-26,1030.36,1049.11,1028.52,1044.73,1545259
2026-05-27,1045.03,1051.94,1037.54,1039.69,1018183
2026-05-28,1040.14,1057.82,1038.98,1055.71,1330931
2026-05-29,1055.88,1065.32,1055.01,1063.47,1175991
