Date,Open,High,Low,Close,Volume
2025-10-01,1547.36,1554.09,1546.31,1550.0,947579
2025-10-02,1553.71,1557.75,1531.61,1532.93,1467401
2025-10-03,1533.37,1535.26,1521.33,1521.34,872350
2025-10-06,1521.72,1530.96,1516.77,1524.02,488167
2025-10-07,1521.59,1526.82,1515.41,1516.9,786643
2025-10-08,1519.64,1522.9,1515.18,1520.97,347167
2025-10-09,1524.49,1536.12,1520.9,1528.04,643122
2025-10-10,1526.57,1530.29,1507.0,1511.07,596367
2025-10-13,1508.65,1520.46,1498.57,1520.32,793260
2025-10-14,1525.02,1526.64,1503.7,1512.46,401290
2025-10-15,1513.98,1538.75,1510.31,1533.12,803151
2025-10-16,1534.62,1542.39,1531.34,1539.4,1959855
2025-10-17,1540.81,1545.47,1530.83,1532.06,923620
2025-10-20,1532.4,1537.05,1530.62,1532.69,396412
2025-10-21,1537.54,1543.46,1529.65,1533.46,483295
2025-10-22,1539.79,1544.86,1529.24,1535.46,742364
2025-10-23,1533.71,1551.55,1532.07,1548.9,1641752
2025-10-24,1544.12,1554.47,1542.18,1553.13,1071321
2025-10-27,1550.12,1572.35,1549.75,1569.63,1521659
2025-10-28,1566.23,1590.63,1562.74,1575.03,363642
2025-10-29,1576.22,1578.8,1566.89,1571.5,1528505
2025-10-30,1571.47,1574.2,1548.7,1553.16,1527597
2025-10-31,1554.25,1562.73,1522.57,1534.64,1908633
2025-11-03,1535.71,1538.52,1534.88,1535.3,1487900
2025-11-04,1533.14,1542.61,1533.14,1541.19,830873
2025-11-05,1546.79,1568.94,1542.34,1555.22,1169350
2025-11-06,1561.11,1566.29,1536.79,1546.99,1938751
2025-11-07,1547.31,1548.0,1542.47,1546.29,980090
2025-11-10,1549.24,1550.39,1529.63,1535.94,1709951
2025-11-11,1540.12,1547.37,1523.55,1529.86,1486856
2025-11-12,1530.33,1534.31,1502.51,1503.92,1593951
2025-11-13,1502.73,1511.39,1491.63,1510.2,1981186
2025-11-14,1511.27,1519.44,1501.02,1501.05,467196
2025-11-17,1501.36,1504.27,1492.21,1498.78,1373284
2025-11-18,1495.17,1508.49,1488.75,1501.96,1580362
2025-11-19,1499.98,1508.88,1495.85,1504.02,920695
2025-11-20,1500.51,1507.88,1486.19,1488.68,1003506
2025-11-21,1493.08,1506.41,1490.19,1503.01,695324
2025-11-24,1507.23,1514.95,1501.91,1509.48,313403
2025-11-25,1514.72,1521.88,1506.58,1513.25,1363580
2025-11-26,1512.71,1517.64,1502.25,1504.75,450371
2025-11-27,1505.95,1512.43,1482.17,1486.35,840617
2025-11-28,1485.48,1488.67,1459.35,1467.9,250547
2025-12-01,1467.67,1473.59,1458.19,1464.29,1102240
2025-12-02,1463.15,1469.77,1455.89,1464.48,1978358
2025-12-03,1464.35,1466.24,1454.82,1455.8,1068596
2025-12-04,1458.96,1476.03,1451.3,1472.99,890580
2025-12-05,1475.24,1478.72,1473.45,1474.62,265634
2025-12-08,1469.38,1484.47,1462.82,1483.45,451060
2025-12-09,1482.97,1492.23,1475.2,1491.38,1498211
2025-12-10,1491.3,1503.59,1471.95,1478.72,1943079
2025-12-11,1478.71,1498.47,1475.36,1487.53,1037957
2025-12-12,1484.2,1496.24,1480.91,1490.73,1758429
2025-12-15,1491.26,1497.4,1473.29,1476.0,549529
2025-12-16,1478.8,1488.27,1471.37,1482.0,764289
2025-12-17,1482.89,1493.04,1482.57,1491.63,205970
