Date,Open,High,Low,Close,Volume
2025-10-01,450.92,452.68,449.92,450.0,1072035
2025-10-02,450.01,450.32,447.5,448.39,1678065
2025-10-03,448.19,450.12,447.88,450.09,560338
2025-10-06,449.67,455.53,448.87,452.9,470707
2025-10-07,452.42,455.88,451.46,455.7,1510595
2025-10-08,455.8,462.27,455.54,460.67,1735290
2025-10-09,460.27,461.65,458.07,459.61,1118481
2025-10-10,459.67,461.97,459.0,461.11,1779581
2025-10-13,461.34,462.85,459.17,460.09,407719
2025-10-14,460.42,463.41,455.52,456.16,1136954
2025-10-15,456.6,456.92,450.58,454.23,1649552
2025-10-16,453.84,456.74,453.77,454.6,910324
2025-10-17,454.62,454.65,449.41,452.11,1382826
2025-10-20,452.24,452.87,450.7,451.59,929131
2025-10-21,451.61,455.12,449.95,454.62,1991334
2025-10-22,453.89,456.57,451.47,456.18,1741153
2025-10-23,456.49,457.94,454.34,457.75,326993
2025-10-24,457.24,459.99,456.6,458.69,1193247
2025-10-27,459.12,462.5,458.04,458.21,422255
2025-10-28,458.14,458.3,451.15,453.08,943313
2025-10-29,454.64,457.07,453.77,455.77,1962773
2025-10-30,456.7,457.7,451.41,451.65,1263075
2025-10-31,450.28,454.33,448.28,452.24,1409564
2025-11-03,451.61,453.54,451.28,451.94,685592
2025-11-04,450.88,453.75,448.16,452.32,1783680
2025-11-05,450.61,456.86,449.81,453.0,1392884
2025-11-06,453.78,454.64,450.23,452.09,235596
2025-11-07,451.16,456.06,451.04,454.54,793494
2025-11-10,454.86,455.3,447.29,451.03,1116630
2025-11-11,451.05,455.81,450.35,453.18,465373
2025-11-12,453.25,454.6,446.77,448.57,522031
2025-11-13,449.32,452.82,448.93,451.77,1198847
2025-11-14,452.64,453.76,449.78,450.39,325775
2025-11-17,451.99,452.31,449.74,451.4,1897180
2025-11-18,450.01,455.87,448.12,455.48,510134
2025-11-19,456.82,458.39,449.11,449.57,1431602
2025-11-20,448.18,449.23,446.93,448.72,917027
2025-11-21,448.49,450.56,446.21,450.27,1005775
2025-11-24,450.64,453.3,448.04,452.7,695109
2025-11-25,454.27,456.53,454.12,456.39,1433642
2025-11-26,457.67,459.54,456.27,458.05,1506344
2025-11-27,458.87,461.7,458.71,459.46,331317
2025-11-28,457.82,459.86,456.54,459.75,1444446
2025-12-01,459.26,461.87,456.76,460.49,1266919
2025-12-02,459.29,461.76,458.39,460.68,431663
2025-12-03,461.03,464.25,460.93,463.42,1088895
2025-12-04,462.98,465.92,460.79,463.87,1364205
2025-12-05,464.1,469.64,463.82,465.73,1991355
2025-12-08,463.66,472.04,463.16,470.24,380846
2025-12-09,471.15,473.82,470.08,473.55,1699127
2025-12-10,474.13,474.14,470.49,472.57,707127
2025-12-11,471.59,472.97,469.79,472.27,1831027
2025-12-12,471.72,476.61,469.51,474.36,760277
2025-12-15,474.31,474.98,472.15,472.53,777455
2025-12-16,470.98,473.73,464.76,467.34,1686048
2025-12-17,466.73,469.25,463.72,464.5,623387
2025-12-18,464.43,466.41,464.36,466.0,982087
2025-12-19,466.09,467.14,463.06,465.41,1423190
2025-12-22,464.63,466.0,462.86,464.42,475148
2025-12-23,465.48,466.7,464.07,466.5,762644
2025-12-24,466.77,468.22,460.61,463.55,933346
2025-12-25,463.11,470.11,462.03,469.85,351973
2025-12-26,470.69,471.27,468.3,469.92,1388678
2025-12-29,470.56,473.3,468.15,469.0,1883807
2025-12-30,467.99,474.98,467.66,474.74,297700
2025-12-31,474.42,475.93,468.98,471.63,496496
2026-01-01,471.41,472.37,469.62,470.23,1836083
2026-01-02,467.23,470.0,465.5,469.97,1159895
2026-01-05,470.69,470.71,467.08,467.27,355065
2026-01-06,466.29,466.61,464.54,466.31,1075405
2026-01-07,467.1,468.12,465.35,467.94,1821543
2026-01-08,469.14,470.35,468.1,468.42,1947675
2026-01-09,468.19,469.4,466.74,468.28,1444524
2026-01-12,467.89,471.88,466.88,471.06,417684
2026-01-13,470.57,478.71,469.7,476.39,336415
2026-01-14,475.01,481.48,473.55,480.86,1114444
2026-01-15,480.54,480.61,474.45,474.82,1942467
2026-01-16,475.57,479.11,474.7,478.73,1946498
2026-01-19,478.76,482.93,476.14,480.95,1594730
2026-01-20,481.43,483.34,480.31,482.13,1696635
2026-01-21,481.92,485.69,476.92,479.29,1395802
2026-01-22,479.84,481.01,476.2,477.99,1010824
2026-01-23,478.09,480.78,476.69,477.39,1254488
2026-01-26,477.61,478.36,470.5,473.4,1778150
2026-01-27,474.01,477.2,472.55,476.9,1543769
2026-01-28,478.0,479.98,477.46,479.45,1249892
2026-01-29,480.39,480.92,478.92,479.41,1785158
2026-01-30,480.55,481.29,476.6,476.69,1214612
2026-02-02,476.64,481.62,476.25,480.54,1793962
2026-02-03,481.93,483.67,479.55,482.38,1698465
2026-02-04,481.78,486.94,481.4,485.46,1955645
2026-02-05,485.75,486.07,483.06,484.24,306393
2026-02-06,484.98,493.69,483.48,491.2,1781935
2026-02-09,490.68,493.53,489.91,490.79,1812088
2026-02-10,491.05,497.74,489.82,496.55,576661
2026-02-11,497.67,498.91,490.39,490.58,1707264
2026-02-12,490.43,493.44,488.37,491.48,216773
2026-02-13,492.02,494.03,491.3,491.73,1169531
2026-02-16,491.63,491.92,483.03,484.29,1431965
2026-02-17,484.45,486.01,480.47,482.41,1399534
2026-02-18,481.09,483.22,477.44,478.87,1430560
2026-02-19,477.68,479.15,469.64,474.82,972906
2026-02-20,475.55,479.46,472.57,472.68,405075
2026-02-23,473.17,475.46,466.7,469.36,1551320
2026-02-24,469.42,470.46,466.46,470.27,1837419
2026-02-25,469.61,471.7,466.98,471.59,940963
2026-02-26,471.4,474.96,468.75,472.35,1517781
2026-02-27,472.36,473.65,468.56,470.0,1548895
2026-03-02,468.36,470.62,466.56,468.64,550652
2026-03-03,469.88,475.62,466.57,473.36,1524282
2026-03-04,473.39,474.92,472.34,472.38,879492
2026-03-05,472.28,474.24,470.66,472.32,1585283
2026-03-06,472.98,473.68,468.63,470.65,1597306
2026-03-09,470.87,472.57,470.37,472.14,218128
2026-03-10,471.71,476.41,470.7,474.65,774122
2026-03-11,474.67,477.35,474.09,476.92,408483
2026-03-12,478.4,479.56,477.96,478.13,707123
2026-03-13,479.75,481.35,477.75,480.17,707126
2026-03-16,479.06,479.74,478.66,479.56,892316
2026-03-17,479.54,484.19,478.87,481.35,1061215
2026-03-18,481.36,483.91,478.43,478.49,787034
2026-03-19,479.37,480.34,475.75,478.78,843991
2026-03-20,478.17,483.11,477.88,481.26,952069
2026-03-23,482.22,482.99,476.23,478.33,678206
2026-03-24,478.23,480.74,475.71,480.57,1635136
2026-03-25,482.82,483.75,480.72,481.48,1846318
2026-03-26,479.91,481.65,477.87,477.94,515854
2026-03-27,477.15,481.99,472.39,473.06,1832855
2026-03-30,473.24,473.68,467.78,468.37,254005
2026-03-31,467.86,468.64,462.56,465.43,1625475
2026-04-01,464.17,468.67,461.37,466.32,1733517
2026-04-02,466.37,467.83,465.75,467.01,840680
2026-04-03,468.29,471.82,465.99,470.45,1192994
2026-04-06,470.39,478.27,469.01,476.86,1520675
2026-04-07,477.09,480.23,475.05,475.49,801728
2026-04-08,475.77,475.92,469.62,469.67,1696687
2026-04-09,468.73,470.56,465.25,465.47,827375
2026-04-10,466.03,466.37,459.3,459.8,746848
2026-04-13,458.88,459.8,457.85,457.89,1278733
2026-04-14,457.44,462.92,454.0,456.41,370313
2026-04-15,455.46,460.57,451.65,459.9,406290
2026-04-16,459.89,461.92,455.33,455.74,686940
2026-04-17,455.85,456.77,453.93,455.06,624312
2026-04-20,455.29,455.64,453.25,454.36,1411918
2026-04-21,455.15,458.15,452.21,454.0,352690
2026-04-22,454.11,455.02,452.09,452.43,645234
2026-04-23,453.54,461.51,452.39,458.16,949319
