Date,Open,High,Low,Close,Volume
2025-10-01,12479.42,12592.27,12473.2,12500.0,1210111
2025-10-02,12503.66,12537.7,12433.49,12488.02,458397
2025-10-03,12483.13,12645.58,12455.69,12593.2,274670
2025-10-06,12591.2,12719.98,12578.33,12713.86,443351
2025-10-07,12678.73,12759.73,12651.9,12753.31,626536
2025-10-08,12726.95,12830.21,12674.39,12800.31,523581
2025-10-09,12819.29,12841.43,12758.0,12778.07,1607996
2025-10-10,12798.98,12865.62,12676.86,12723.32,1997115
2025-10-13,12742.41,12785.04,12639.71,12669.85,1392938
2025-10-14,12708.96,12724.61,12575.96,12609.16,611562
2025-10-15,12610.91,12697.15,12606.69,12694.59,829090
2025-10-16,12716.3,12759.46,12646.21,12705.53,1293129
2025-10-17,12697.04,12736.42,12689.61,12730.56,1065925
2025-10-20,12726.74,12832.75,12687.68,12696.95,457093
2025-10-21,12729.89,12825.76,12611.51,12629.32,268677
2025-10-22,12606.26,12658.35,12530.94,12553.39,1784436
2025-10-23,12586.08,12600.24,12467.0,12505.07,288490
2025-10-24,12516.24,12584.2,12509.61,12565.03,1887691
2025-10-27,12577.43,12621.93,12518.42,12581.5,932110
2025-10-28,12629.08,12667.91,12533.94,12562.12,1928723
2025-10-29,12597.84,12665.78,12475.38,12559.16,1087061
2025-10-30,12524.72,12562.0,12420.21,12466.67,275811
2025-10-31,12465.2,12623.97,12422.17,12573.68,852624
2025-11-03,12589.66,12621.47,12450.59,12497.0,784655
2025-11-04,12524.77,12574.74,12505.37,12515.18,747795
2025-11-05,12541.71,12696.72,12535.71,12690.66,972093
2025-11-06,12691.25,12695.24,12417.17,12511.64,942116
2025-11-07,12545.2,12603.5,12375.1,12421.03,1998056
2025-11-10,12415.33,12437.21,12365.86,12382.0,547088
2025-11-11,12404.05,12412.3,12369.96,12405.52,1012329
2025-11-12,12423.74,12488.26,12290.53,12292.76,616792
2025-11-13,12255.66,12299.29,12187.13,12290.16,997211
2025-11-14,12308.03,12323.8,12286.51,12302.81,1966964
2025-11-17,12303.85,12383.45,12286.92,12330.16,978637
2025-11-18,12356.56,12383.78,12100.8,12168.26,929721
2025-11-19,12176.49,12245.83,12143.21,12230.06,1000418
2025-11-20,12184.62,12387.86,12086.9,12361.92,784735
2025-11-21,12372.43,12441.26,12360.28,12409.13,852727
2025-11-24,12443.28,12484.15,12352.87,12370.18,1048860
2025-11-25,12327.19,12362.99,12287.3,12339.5,1365250
2025-11-26,12343.64,12399.83,12106.78,12158.38,1634844
2025-11-27,12194.45,12226.52,12171.75,12207.7,567808
2025-11-28,12240.53,12354.56,12222.51,12332.44,1013193
2025-12-01,12324.84,12426.56,12313.79,12395.35,321397
2025-12-02,12389.89,12416.34,12145.23,12188.8,322268
2025-12-03,12170.83,12177.35,12166.97,12172.27,1347836
2025-12-04,12174.07,12229.42,12130.26,12179.36,1179886
2025-12-05,12132.23,12185.37,12113.9,12158.64,548463
2025-12-08,12132.54,12279.95,12098.95,12248.61,1897636
2025-12-09,12263.61,12274.67,12119.64,12135.12,1782178
2025-12-10,12155.28,12164.28,12031.12,12097.42,1255042
2025-12-11,12143.4,12174.3,12137.12,12155.17,1765858
2025-12-12,12159.06,12306.65,12105.86,12242.02,1016767
2025-12-15,12246.04,12278.62,12166.79,12269.14,1382572
2025-12-16,12239.73,12368.11,12205.5,12361.54,1841733
2025-12-17,12361.4,12507.5,12319.37,12414.96,331554
2025-12-18,12471.08,12490.54,12305.12,12350.95,841759
2025-12-19,12330.53,12500.63,12330.31,12461.63,622915
2025-12-22,12444.68,12496.93,12398.45,12438.78,918241
2025-12-23,12403.3,12455.66,12310.58,12332.01,406753
2025-12-24,12319.63,12379.31,12278.03,12379.22,897780
2025-12-25,12435.42,12562.41,12414.85,12528.83,655663
2025-12-26,12560.54,12678.39,12546.34,12615.97,571419
2025-12-29,12592.2,12756.74,12567.95,12706.6,759305
2025-12-30,12723.6,12739.08,12684.53,12736.38,1747089
2025-12-31,12712.46,12779.96,12490.85,12563.3,1019661
2026-01-01,12546.87,12704.18,12472.25,12629.63,1345013
2026-01-02,12602.4,12676.74,12584.45,12656.72,817815
2026-01-05,12636.72,12699.63,12462.82,12471.34,1893475
2026-01-06,12475.84,12476.69,12437.21,12437.53,1214555
2026-01-07,12422.89,12434.81,12348.54,12386.81,1065321
2026-01-08,12352.96,12536.94,12346.01,12480.54,623651
2026-01-09,12500.37,12542.96,12485.67,12504.76,294862
2026-01-12,12502.45,12567.28,12501.69,12542.14,799746
2026-01-13,12520.75,12591.62,12496.51,12575.45,1508557
2026-01-14,12595.46,12621.95,12448.93,12490.34,1617835
2026-01-15,12547.06,12569.76,12344.44,12358.15,489315
2026-01-16,12357.57,12393.46,12269.96,12377.22,953522
2026-01-19,12392.01,12485.61,12288.73,12370.29,1230363
2026-01-20,12381.41,12393.95,12351.35,12384.07,1482764
2026-01-21,12363.9,12423.28,12352.27,12386.57,824508
2026-01-22,12331.17,12413.79,12292.71,12364.33,820931
2026-01-23,12395.92,12437.16,12346.2,12420.36,1466708
2026-01-26,12414.99,12515.73,12374.66,12449.56,1069242
2026-01-27,12455.31,12503.17,12412.32,12417.97,1674598
2026-01-28,12398.99,12402.5,12205.33,12291.34,1064336
2026-01-29,12311.3,12320.54,12106.75,12115.08,1907726
2026-01-30,12092.41,12142.26,12002.93,12024.89,1480936
2026-02-02,12041.57,12064.74,11992.8,12028.26,1641931
2026-02-03,12038.45,12125.58,12019.16,12108.46,745488
2026-02-04,12111.97,12183.63,12060.54,12092.48,1576543
2026-02-05,12108.61,12205.43,12085.95,12156.13,1323555
2026-02-06,12149.01,12274.92,12138.08,12255.38,1848879
2026-02-09,12280.85,12495.97,12280.82,12445.09,676795
2026-02-10,12445.92,12507.28,12377.71,12481.46,1224646
2026-02-11,12509.15,12675.61,12459.32,12608.36,1016356
2026-02-12,12602.39,12667.29,12543.98,12641.22,1442860
2026-02-13,12658.06,12716.7,12435.42,12562.44,1121829
2026-02-16,12549.74,12575.5,12316.36,12406.36,936429
2026-02-17,12398.27,12505.09,12359.72,12443.38,1964085
2026-02-18,12445.59,12563.56,12389.79,12524.64,597399
2026-02-19,12507.76,12774.97,12459.97,12725.25,1705847
2026-02-20,12687.59,12728.27,12686.27,12689.5,1456111
2026-02-23,12677.36,12764.64,12664.81,12742.05,613498
2026-02-24,12713.2,12785.7,12706.28,12748.48,819122
2026-02-25,12757.43,12801.59,12546.52,12582.62,1141580
2026-02-26,12523.78,12714.28,12500.15,12626.01,1457407
2026-02-27,12656.61,12679.37,12561.53,12616.79,1834781
2026-03-02,12591.0,12613.51,12534.01,12535.3,272933
2026-03-03,12546.09,12725.87,12506.73,12677.29,1159072
2026-03-04,12710.63,12739.77,12604.71,12645.57,497425
2026-03-05,12630.12,12740.44,12610.32,12696.32,377472
2026-03-06,12709.3,12764.9,12660.33,12691.33,1770169
2026-03-09,12732.48,12769.44,12600.76,12652.0,1301983
2026-03-10,12672.94,12696.76,12621.55,12654.44,1156964
2026-03-11,12667.05,12836.18,12578.99,12729.84,1832413
2026-03-12,12744.32,12754.6,12681.07,12692.41,1535103
2026-03-13,12687.57,12724.54,12567.43,12581.88,1062915
2026-03-16,12609.07,12772.21,12525.14,12732.59,1798410
2026-03-17,12724.32,12822.2,12700.79,12781.43,1385258
2026-03-18,12770.93,12775.72,12715.37,12723.22,872352
2026-03-19,12720.02,12826.79,12716.51,12731.49,1434765
2026-03-20,12704.88,12751.93,12625.24,12627.24,1119990
2026-03-23,12643.56,12663.92,12633.93,12637.45,1953991
2026-03-24,12587.98,12725.43,12556.97,12717.87,1129903
2026-03-25,12690.25,12741.36,12581.03,12585.73,1343039
2026-03-26,12534.77,12667.82,12506.43,12666.3,306603
2026-03-27,12677.43,12753.76,12633.84,12742.88,1133827
2026-03-30,12742.55,12798.29,12658.94,12737.39,1804646
2026-03-31,12695.55,12795.8,12673.0,12760.5,1035570
2026-04-01,12760.52,12819.23,12706.4,12750.29,242660
2026-04-02,12746.55,12814.26,12695.51,12731.48,1511951
2026-04-03,12766.54,12811.58,12583.76,12604.53,1618214
2026-04-06,12580.65,12837.99,12541.78,12742.96,308483
2026-04-07,12736.25,12831.69,12696.99,12706.91,1173774
2026-04-08,12723.52,12871.72,12663.49,12732.44,1633043
2026-04-09,12680.88,12810.96,12662.62,12730.31,1792966
2026-04-10,12759.05,12840.01,12666.47,12780.37,424612
2026-04-13,12733.68,12871.29,12732.64,12839.2,1929938
2026-04-14,12849.7,12862.37,12687.28,12775.93,1416962
2026-04-15,12786.85,12881.79,12763.46,12819.04,1808124
2026-04-16,12817.51,12848.3,12749.27,12813.65,552225
2026-04-17,12856.9,12900.55,12711.74,12761.1,1639170
2026-04-20,12779.24,12898.28,12723.64,12875.72,1644352
2026-04-21,12849.16,13007.35,12817.16,12982.22,427301
2026-04-22,12993.7,13007.23,12881.47,12927.36,1330248
2026-04-23,12927.1,12954.8,12821.96,12919.43,1082218
2026-04-24,12866.74,12928.32,12816.11,12856.58,1858156
2026-04-27,12862.37,12883.79,12760.17,12784.27,481964
2026-04-28,12833.94,12838.46,12719.69,12724.25,379900
2026-04-29,12710.13,12836.12,12696.22,12781.87,981105
2026-04-30,12766.8,12771.48,12650.0,12688.57,1299209
2026-05-01,12662.99,12761.87,12559.82,12592.44,273921
2026-05-04,12586.79,12647.62,12562.07,12629.28,894393
2026-05-05,12643.08,12691.15,12572.92,12589.9,1942720
2026-05-06,12577.89,12782.13,12519.58,12697.87,1461877
2026-05-07,12729.03,12808.38,12622.56,12639.9,1462693
2026-05-08,12643.59,12771.33,12579.96,12618.2,699907
2026-05-11,12583.14,12606.14,12468.61,12574.62,1052565
2026-05-12,12542.48,12555.39,12368.16,12415.05,516001
2026-05-13,12419.27,12546.82,12303.17,12455.86,1543477
2026-05-14,12481.15,12540.91,12401.55,12522.77,1410140
2026-05-15,12489.56,12635.87,12412.76,12609.56,460598
2026-05-18,12580.91,12616.2,12573.13,12610.43,218106
2026-05-19,12634.04,12716.17,12594.59,12676.1,1454997
2026-05-20,12666.95,12728.02,12645.74,12679.56,1874122
2026-05-21,12633.25,12753.54,12557.06,12687.6,572278
2026-05-22,12653.6,12746.65,12627.52,12641.8,1948789
2026-05-25,12625.56,12645.76,12567.13,12644.99,349111
2026-05-26,12673.14,12756.04,12543.48,12588.59,531265
2026-05-27,12571.76,12654.54,12571.15,12648.99,785122
2026-05-28,12622.69,12642.65,12576.02,12612.94,1400992
2026-05-29,12593.03,12638.31,12517.52,12548.94,1511851
2026-06-01,12543.16,12569.23,12504.51,12555.88,252418
2026-06-02,12570.95,12609.49,12543.22,12566.52,713605
2026-06-03,12544.77,12558.29,12410.38,12454.19,263936
2026-06-04,12419.39,12452.19,12310.67,12389.13,970478
2026-06-05,12394.62,12432.59,12297.19,12360.45,1624946
2026-06-08,12325.0,12466.23,12279.01,12403.54,1424130
2026-06-09,12393.71,12475.2,12382.52,12457.19,1261487
