Date,Open,High,Low,Close,Volume
2025-10-01,22447.91,22564.56,22350.43,22500.0,998246
2025-10-02,22456.74,22691.33,22364.57,22573.65,277312
2025-10-03,22605.48,22808.21,22485.38,22712.02,1109949
2025-10-06,22684.25,22833.1,22519.5,22784.31,1966662
2025-10-07,22723.34,22790.98,22631.98,22633.5,431378
2025-10-08,22654.99,22870.03,22632.85,22783.61,1103502
2025-10-09,22719.56,22901.86,22718.05,22871.97,1642092
2025-10-10,22844.38,23007.51,22807.9,22825.73,1751925
2025-10-13,22838.12,22981.31,22791.65,22932.71,523246
2025-10-14,22948.06,23082.91,22885.79,23010.39,348322
2025-10-15,23038.99,23089.17,23013.48,23078.61,1667200
2025-10-16,22999.95,23181.94,22997.8,23110.24,1183790
2025-10-17,23106.65,23416.88,23044.47,23213.78,1225650
2025-10-20,23263.64,23397.15,22966.94,23139.06,892500
2025-10-21,23114.93,23315.2,23077.81,23144.21,1502050
2025-10-22,23101.21,23228.03,23002.16,23105.03,1208087
2025-10-23,23164.3,23233.55,23141.58,23215.78,1500591
2025-10-24,23124.05,23294.41,22968.01,23249.17,392339
2025-10-27,23300.88,23308.61,23108.42,23236.27,700252
2025-10-28,23250.78,23354.96,23137.15,23155.14,745356
2025-10-29,23114.18,23238.6,23080.24,23147.2,1458008
2025-10-30,23176.56,23207.97,23103.13,23176.11,1408061
2025-10-31,23131.35,23262.24,23111.92,23165.59,589388
2025-11-03,23078.88,23501.27,23026.24,23373.26,700962
2025-11-04,23394.89,23615.65,23337.32,23542.49,810108
2025-11-05,23598.85,23662.84,23116.85,23187.77,1847026
2025-11-06,23236.73,23273.37,22899.37,22952.79,1609391
2025-11-07,22954.77,23025.12,22818.17,22956.26,1749154
2025-11-10,22963.98,22965.57,22840.2,22925.66,1272922
2025-11-11,22975.19,22986.81,22837.1,22982.56,200821
2025-11-12,22990.32,23102.96,22875.11,23040.1,1005922
2025-11-13,23016.56,23442.85,22976.33,23360.52,1837368
2025-11-14,23362.72,23381.06,23207.67,23232.69,1625318
2025-11-17,23323.8,23373.69,23056.06,23207.93,1914179
2025-11-18,23242.23,23652.34,23183.28,23520.23,838416
2025-11-19,23510.79,23658.24,23439.91,23639.72,756762
2025-11-20,23636.04,23828.13,23608.71,23762.14,1837652
2025-11-21,23688.58,23839.94,23652.47,23717.37,908166
2025-11-24,23719.29,23817.63,23504.08,23511.3,769507
2025-11-25,23570.01,23704.25,23505.31,23563.14,825836
2025-11-26,23529.63,23689.48,23525.25,23606.83,789478
2025-11-27,23617.92,23752.69,23383.35,23461.31,958051
2025-11-28,23468.32,23612.93,23354.64,23393.29,1819084
2025-12-01,23369.41,23560.46,23320.44,23411.25,953279
2025-12-02,23384.39,23474.94,23280.29,23306.64,481862
2025-12-03,23333.94,23497.09,23318.79,23320.86,1804547
2025-12-04,23344.1,23499.76,23230.72,23362.21,1461423
2025-12-05,23309.14,23428.21,23197.23,23395.23,350761
2025-12-08,23414.6,23546.82,23259.92,23352.24,215907
2025-12-09,23346.37,23471.08,23258.37,23463.45,247521
2025-12-10,23373.28,23651.27,23271.77,23617.07,1861678
2025-12-11,23656.84,23807.97,23604.04,23690.87,1674378
2025-12-12,23683.68,23770.45,23510.26,23602.99,1468292
2025-12-15,23700.34,23890.93,23581.33,23734.93,1609926
2025-12-16,23801.43,23942.67,23641.27,23692.0,1222382
2025-12-17,23623.58,23908.3,23592.37,23845.41,1302938
2025-12-18,23875.75,23955.31,23655.76,23720.68,870077
2025-12-19,23759.01,23945.34,23660.18,23879.29,1095220
2025-12-22,23951.66,23988.78,23898.55,23905.08,1187968
2025-12-23,23879.45,23955.5,23732.92,23754.65,1193872
2025-12-24,23711.98,23772.39,23606.94,23738.42,1901305
2025-12-25,23702.56,23780.64,23687.34,23774.61,1118211
2025-12-26,23877.36,23952.64,23781.19,23842.05,1937541
2025-12-29,23811.22,23841.88,23718.6,23730.16,1261134
2025-12-30,23738.38,23771.33,23578.27,23600.97,561611
2025-12-31,23579.81,23688.87,23480.45,23657.55,487086
2026-01-01,23644.22,23669.47,23537.02,23619.69,1100182
2026-01-02,23565.5,23688.13,23511.68,23681.41,230764
2026-01-05,23622.9,23885.28,23612.61,23817.74,1696860
2026-01-06,23752.57,23888.25,23595.71,23610.7,1913970
2026-01-07,23620.07,23714.02,23596.89,23675.07,1830375
2026-01-08,23679.1,24016.28,23592.32,23877.44,718843
2026-01-09,23815.24,23898.6,23779.1,23863.47,1270834
2026-01-12,23801.46,23877.87,23741.6,23776.01,1132064
2026-01-13,23790.06,23953.86,23613.0,23911.86,1329381
2026-01-14,23885.93,24169.15,23820.56,23976.91,1946982
2026-01-15,23925.76,24168.1,23796.83,24134.57,1228233
2026-01-16,24167.92,24231.18,24111.18,24113.54,617671
2026-01-19,24117.63,24158.59,23823.11,23928.09,1769384
2026-01-20,23883.92,24035.07,23873.58,23941.01,1302903
2026-01-21,24028.93,24174.3,23832.21,23905.69,1964059
2026-01-22,23897.23,24246.79,23891.31,24045.59,1631157
2026-01-23,24013.92,24133.97,23983.63,24102.38,308078
2026-01-26,24113.33,24120.49,23879.94,23895.46,1475521
2026-01-27,23966.93,24023.57,23722.91,23752.78,472338
2026-01-28,23735.52,23951.08,23688.28,23907.24,998277
2026-01-29,23958.7,24068.67,23953.41,24033.43,1314358
2026-01-30,24004.88,24056.28,23793.54,23969.95,1120119
2026-02-02,23967.2,24000.92,23931.22,23998.56,1974510
2026-02-03,23989.22,24167.29,23919.17,24091.52,987733
