Date,Open,High,Low,Close,Volume
2025-10-01,1400.71,1404.08,1392.0,1400.0,1460795
2025-10-02,1396.31,1401.46,1391.34,1398.7,1104002
2025-10-03,1402.08,1423.01,1399.19,1412.24,869383
2025-10-06,1411.79,1431.05,1409.73,1424.38,1144383
2025-10-07,1422.65,1424.54,1414.56,1416.86,655271
2025-10-08,1417.96,1420.45,1408.84,1411.78,1483042
2025-10-09,1406.76,1414.96,1395.67,1404.13,305311
2025-10-10,1403.52,1415.12,1397.02,1408.84,886209
2025-10-13,1412.53,1422.76,1402.63,1406.52,1624979
2025-10-14,1408.47,1414.72,1403.96,1413.24,1693306
2025-10-15,1415.3,1425.38,1390.02,1390.66,446490
2025-10-16,1393.46,1410.65,1388.07,1406.42,1495116
2025-10-17,1405.66,1407.48,1401.12,1403.64,806952
2025-10-20,1403.98,1410.87,1403.92,1409.6,472412
2025-10-21,1410.33,1413.73,1405.02,1406.37,624229
2025-10-22,1405.12,1415.08,1397.66,1400.41,1904181
2025-10-23,1408.34,1413.67,1401.82,1403.92,1935804
2025-10-24,1402.91,1412.65,1400.59,1411.5,1244045
2025-10-27,1416.56,1419.6,1406.42,1407.52,1228414
2025-10-28,1405.28,1407.17,1403.65,1404.11,865485
2025-10-29,1404.2,1410.54,1401.56,1410.13,540699
2025-10-30,1414.62,1417.88,1396.75,1398.61,1543783
2025-10-31,1398.05,1401.38,1374.35,1379.99,1097086
2025-11-03,1383.2,1386.43,1373.92,1382.7,433219
2025-11-04,1382.22,1390.72,1369.1,1373.62,267786
2025-11-05,1375.77,1385.81,1349.02,1350.87,722300
2025-11-06,1350.86,1357.0,1338.11,1340.45,1929399
2025-11-07,1338.26,1348.28,1333.13,1333.83,1548450
2025-11-10,1328.67,1335.41,1314.97,1319.49,1482932
2025-11-11,1322.96,1330.23,1296.75,1302.16,426835
2025-11-12,1301.26,1304.01,1297.95,1300.98,1512919
2025-11-13,1298.72,1309.55,1292.71,1308.75,1900143
2025-11-14,1307.4,1307.92,1303.78,1304.74,1394809
2025-11-17,1303.78,1306.4,1292.98,1295.41,1967601
2025-11-18,1294.16,1302.21,1290.73,1297.85,1141284
2025-11-19,1295.6,1305.49,1294.27,1303.74,958889
2025-11-20,1308.24,1308.4,1293.69,1299.05,1903451
2025-11-21,1298.68,1307.98,1297.21,1303.15,1772734
2025-11-24,1302.82,1319.89,1298.8,1312.46,208668
2025-11-25,1314.93,1321.76,1308.08,1308.71,1798360
2025-11-26,1305.31,1307.18,1297.85,1298.62,1006043
2025-11-27,1295.67,1306.58,1289.63,1300.67,1923012
2025-11-28,1303.59,1311.03,1298.47,1301.69,1199019
2025-12-01,1299.34,1315.39,1297.97,1311.57,1992068
2025-12-02,1314.86,1315.82,1293.62,1296.52,742227
2025-12-03,1294.87,1297.76,1286.85,1288.1,345772
2025-12-04,1291.23,1296.64,1275.57,1277.92,617421
2025-12-05,1277.15,1285.05,1255.87,1258.65,787674
2025-12-08,1258.31,1260.25,1253.75,1258.42,1865095
2025-12-09,1256.75,1269.76,1256.06,1262.22,1767218
2025-12-10,1262.74,1264.3,1248.92,1253.25,1968092
2025-12-11,1256.93,1269.94,1255.5,1265.63,1932473
2025-12-12,1264.15,1275.46,1258.82,1272.44,1592735
2025-12-15,1274.56,1281.57,1269.45,1277.3,1647440
2025-12-16,1276.63,1289.19,1272.92,1279.87,649037
2025-12-17,1283.3,1294.91,1282.58,1288.12,276205
2025-12-18,1289.93,1295.35,1268.84,1272.85,263157
2025-12-19,1272.83,1278.21,1267.35,1277.57,1273404
2025-12-22,1276.35,1283.61,1273.74,1282.2,350944
2025-12-23,1281.7,1285.4,1259.69,1262.53,1819504
2025-12-24,1263.88,1268.38,1262.72,1264.52,507104
2025-12-25,1262.14,1269.13,1258.0,1260.47,640178
2025-12-26,1258.27,1270.74,1255.0,1266.83,724722
2025-12-29,1266.0,1266.6,1253.89,1260.87,827669
2025-12-30,1264.31,1266.56,1251.73,1259.17,977002
2025-12-31,1262.1,1266.26,1256.3,1261.11,1027970
2026-01-01,1261.46,1262.99,1242.5,1250.76,1629402
2026-01-02,1258.05,1265.2,1250.45,1255.25,697356
2026-01-05,1251.82,1253.16,1248.71,1252.69,1582760
2026-01-06,1249.43,1256.15,1247.72,1256.12,343973
2026-01-07,1256.84,1257.83,1245.72,1249.37,1635117
2026-01-08,1253.5,1262.91,1250.14,1258.72,1646693
2026-01-09,1256.72,1264.33,1256.2,1263.31,1292830
2026-01-12,1257.08,1263.08,1256.96,1259.99,1570734
2026-01-13,1258.32,1267.21,1256.23,1264.85,712221
2026-01-14,1262.75,1282.23,1261.04,1276.08,1486162
2026-01-15,1275.21,1300.79,1268.16,1292.83,1777729
2026-01-16,1292.6,1304.72,1269.64,1275.01,1205500
2026-01-19,1278.24,1282.74,1273.48,1282.49,1991026
2026-01-20,1280.37,1290.17,1280.26,1285.72,1689720
2026-01-21,1288.24,1291.36,1274.64,1283.21,974958
2026-01-22,1281.76,1286.1,1264.31,1271.34,400587
2026-01-23,1272.4,1284.75,1271.8,1282.6,468704
2026-01-26,1282.35,1285.21,1266.68,1268.11,1508959
2026-01-27,1273.98,1276.03,1271.51,1272.34,1577466
2026-01-28,1275.09,1289.75,1270.27,1284.07,614380
2026-01-29,1286.78,1294.29,1265.9,1266.09,1399907
2026-01-30,1262.14,1271.42,1259.39,1261.51,823695
2026-02-02,1265.67,1270.2,1245.85,1246.78,1711843
2026-02-03,1244.4,1251.28,1240.45,1247.72,1547858
2026-02-04,1246.33,1265.65,1244.79,1261.34,1159481
2026-02-05,1259.25,1282.89,1256.46,1280.24,407989
2026-02-06,1277.31,1277.66,1255.42,1260.5,1252357
2026-02-09,1257.3,1262.42,1252.24,1253.19,822644
2026-02-10,1253.82,1262.48,1253.42,1258.74,1292673
2026-02-11,1260.5,1276.03,1255.99,1273.13,212053
2026-02-12,1272.89,1278.63,1272.18,1275.89,1737691
2026-02-13,1275.11,1278.73,1258.81,1266.74,1398448
2026-02-16,1267.5,1269.94,1261.86,1268.24,685462
2026-02-17,1268.3,1273.16,1262.35,1266.55,1729522
2026-02-18,1269.15,1271.8,1261.63,1262.96,1539140
2026-02-19,1260.17,1272.76,1253.52,1254.02,835359
2026-02-20,1253.97,1257.8,1251.8,1256.4,1178568
2026-02-23,1259.95,1266.76,1255.39,1257.99,1481233
2026-02-24,1257.55,1259.36,1242.19,1255.55,1499190
2026-02-25,1258.66,1261.4,1244.43,1251.81,1264671
2026-02-26,1254.2,1262.3,1234.12,1237.44,1475386
2026-02-27,1234.36,1235.15,1230.12,1231.15,1761429
2026-03-02,1230.21,1243.71,1227.51,1241.55,571715
2026-03-03,1241.85,1244.55,1233.98,1238.17,1679448
2026-03-04,1239.73,1246.28,1222.26,1222.42,918428
