Date,Open,High,Low,Close,Volume
2025-10-01,778.99,781.64,775.18,780.0,1657189
2025-10-02,779.84,790.61,777.11,785.94,1911543
2025-10-03,784.53,787.43,782.85,787.12,1513511
2025-10-06,786.44,790.34,781.98,782.78,770466
2025-10-07,782.2,782.88,770.73,773.94,869941
2025-10-08,776.08,777.57,760.27,761.29,1349130
2025-10-09,761.99,762.56,760.26,760.49,1735179
2025-10-10,760.35,761.04,752.02,754.64,372631
2025-10-13,751.94,752.9,744.35,748.47,237989
2025-10-14,748.89,750.67,744.03,746.24,1446699
2025-10-15,743.33,747.36,742.76,745.04,951790
2025-10-16,745.04,747.51,729.34,730.57,679760
2025-10-17,728.2,735.49,726.53,735.1,1612324
2025-10-20,736.66,738.17,716.42,722.3,1861762
2025-10-21,720.59,733.5,716.04,732.18,1598176
2025-10-22,733.49,735.57,733.02,734.76,836104
2025-10-23,731.73,734.22,731.03,731.11,341567
2025-10-24,731.06,740.61,729.89,738.08,563483
2025-10-27,738.5,741.73,736.8,737.32,543649
2025-10-28,736.93,743.89,736.8,740.51,642383
2025-10-29,739.89,745.23,739.21,740.26,1735280
2025-10-30,740.27,745.89,739.33,745.86,395666
2025-10-31,745.66,753.59,744.71,751.3,742887
2025-11-03,750.76,751.13,742.74,744.95,1792301
2025-11-04,744.95,746.23,739.69,740.4,884904
2025-11-05,742.44,743.76,740.25,741.55,944559
2025-11-06,741.57,742.81,735.02,739.41,618101
2025-11-07,740.27,743.41,720.98,725.01,1060593
2025-11-10,726.07,740.21,723.42,735.89,540618
2025-11-11,737.62,738.46,717.44,722.2,729661
2025-11-12,722.24,724.16,707.37,709.31,1167108
2025-11-13,711.88,714.32,697.61,701.22,1169543
2025-11-14,698.58,705.57,695.99,703.54,1421904
2025-11-17,702.99,717.53,700.51,712.81,1054218
2025-11-18,712.42,714.9,709.72,710.61,1962106
2025-11-19,712.06,713.37,704.82,707.54,1705720
2025-11-20,706.46,709.47,704.73,707.67,729784
2025-11-21,709.59,710.21,701.29,704.74,701042
2025-11-24,703.43,707.34,700.76,704.36,1852505
2025-11-25,706.54,710.27,696.96,697.09,1626315
2025-11-26,696.07,699.65,694.23,698.7,308348
2025-11-27,699.39,700.82,697.92,700.06,844137
2025-11-28,701.36,701.66,685.12,685.58,1780463
2025-12-01,686.39,688.91,682.81,684.15,622783
2025-12-02,685.05,685.36,683.95,684.22,573988
