Date,Open,High,Low,Close,Volume
2025-10-01,1697.85,1708.14,1694.29,1700.0,456017
2025-10-02,1705.97,1707.41,1701.57,1702.84,1377247
2025-10-03,1707.77,1721.94,1703.57,1721.38,1265010
2025-10-06,1725.44,1730.73,1693.68,1694.71,258828
2025-10-07,1692.62,1725.59,1688.82,1715.54,414340
2025-10-08,1710.91,1722.01,1709.51,1712.84,348867
2025-10-09,1711.89,1714.22,1698.14,1699.82,363918
2025-10-10,1699.74,1704.76,1680.41,1686.86,1292487
2025-10-13,1691.27,1693.46,1664.24,1670.22,613856
2025-10-14,1671.55,1677.01,1663.06,1665.23,1411888
2025-10-15,1666.05,1677.4,1663.51,1674.34,216418
2025-10-16,1671.16,1680.62,1671.04,1680.15,647628
2025-10-17,1682.03,1689.3,1677.94,1686.72,827464
2025-10-20,1684.96,1685.02,1646.9,1661.82,1737596
2025-10-21,1656.37,1657.06,1629.9,1638.94,1438858
2025-10-22,1639.62,1668.57,1637.14,1657.35,1320444
2025-10-23,1652.83,1669.98,1649.43,1668.21,1371714
2025-10-24,1665.8,1706.26,1661.71,1695.34,1429341
2025-10-27,1697.77,1712.93,1696.28,1709.72,1698042
2025-10-28,1710.89,1712.53,1691.87,1693.65,1760341
2025-10-29,1694.22,1715.14,1688.89,1709.04,1266601
2025-10-30,1706.57,1723.54,1705.56,1715.58,1383613
2025-10-31,1710.15,1718.29,1708.76,1716.47,711203
2025-11-03,1715.23,1717.85,1700.36,1703.15,217854
2025-11-04,1701.55,1711.46,1692.58,1701.14,428814
2025-11-05,1699.9,1700.9,1692.45,1697.1,333468
2025-11-06,1696.07,1708.57,1692.09,1707.18,1475143
2025-11-07,1706.38,1713.61,1698.85,1706.83,373517
2025-11-10,1707.88,1726.57,1699.21,1726.42,1217866
2025-11-11,1730.04,1735.83,1712.02,1713.66,586276
2025-11-12,1712.58,1721.54,1712.0,1718.06,1641979
2025-11-13,1715.54,1734.89,1715.3,1722.85,1711901
2025-11-14,1722.42,1725.07,1706.44,1708.87,866206
2025-11-17,1707.73,1708.87,1686.91,1690.67,1240012
2025-11-18,1694.43,1710.63,1694.38,1702.35,683589
2025-11-19,1704.07,1713.71,1702.67,1707.36,897593
2025-11-20,1712.0,1713.26,1692.02,1703.09,1146401
2025-11-21,1703.09,1710.25,1702.19,1706.42,1486384
2025-11-24,1710.58,1710.98,1694.12,1695.15,1042213
2025-11-25,1701.85,1705.98,1685.84,1696.35,1417554
2025-11-26,1701.37,1703.86,1685.95,1686.1,1289422
2025-11-27,1682.11,1692.85,1673.23,1686.62,1814591
2025-11-28,1693.35,1703.03,1693.18,1697.91,579810
2025-12-01,1705.33,1708.06,1685.47,1691.26,222392
2025-12-02,1689.6,1701.29,1685.5,1700.72,395463
2025-12-03,1705.38,1708.33,1682.27,1684.61,1329823
2025-12-04,1683.85,1687.55,1669.59,1678.7,1737354
2025-12-05,1677.53,1678.46,1657.91,1658.36,1684342
2025-12-08,1660.19,1663.25,1637.13,1655.03,1939604
2025-12-09,1658.1,1663.23,1643.03,1654.09,1874991
