Date,Open,High,Low,Close,Volume
2025-10-01,950.0,954.49,948.05,950.0,1677025
2025-10-02,949.56,949.98,942.51,946.17,848839
2025-10-03,946.85,947.14,934.48,937.74,476971
2025-10-06,939.51,943.23,937.42,941.23,1751439
2025-10-07,940.35,944.28,932.26,932.99,562860
2025-10-08,929.58,953.73,928.89,945.21,781544
2025-10-09,945.09,951.17,943.18,950.38,1158098
2025-10-10,949.01,952.45,945.13,947.04,345497
2025-10-13,949.18,952.38,946.13,949.87,925322
2025-10-14,952.41,962.85,952.24,959.64,246095
2025-10-15,958.21,986.87,957.97,977.72,486153
2025-10-16,982.19,982.22,962.93,970.42,725837
2025-10-17,969.92,976.86,966.23,976.68,1903369
2025-10-20,977.59,984.43,976.82,979.25,1429613
2025-10-21,979.44,985.78,974.87,976.35,718584
2025-10-22,977.36,985.39,977.11,982.84,1947393
2025-10-23,983.32,989.82,982.94,985.34,1656896
2025-10-24,985.08,994.33,984.56,991.78,1497691
2025-10-27,992.84,996.61,983.54,987.14,556131
2025-10-28,988.17,989.89,985.1,986.13,593394
2025-10-29,985.08,993.13,980.75,987.87,800202
2025-10-30,986.92,987.53,986.7,987.02,385853
2025-10-31,986.48,992.66,981.83,986.15,391499
2025-11-03,984.63,990.13,979.68,979.86,1689105
2025-11-04,982.22,986.84,976.94,979.75,604050
2025-11-05,979.5,981.18,977.85,980.05,1718880
2025-11-06,982.78,984.27,977.55,978.65,1002295
2025-11-07,977.22,981.59,976.03,977.57,627340
2025-11-10,979.05,984.22,977.92,981.36,1353013
2025-11-11,983.81,986.89,975.28,975.86,1625508
2025-11-12,976.96,981.4,976.08,979.64,1045044
2025-11-13,979.98,984.87,973.9,977.61,1875170
2025-11-14,976.39,978.83,975.5,977.01,1563796
2025-11-17,976.77,979.63,972.29,974.73,1390574
2025-11-18,975.08,981.75,973.29,979.89,1486910
2025-11-19,979.76,987.43,977.46,984.13,1115277
2025-11-20,984.76,986.17,982.93,983.19,1092338
2025-11-21,981.81,982.81,978.77,979.18,1604592
2025-11-24,980.71,994.71,974.35,990.93,221088
2025-11-25,989.64,997.21,988.58,993.68,1885109
2025-11-26,991.6,994.47,980.43,984.71,1789032
2025-11-27,985.67,990.68,977.82,983.69,256922
2025-11-28,984.73,988.99,977.13,981.94,1029609
2025-12-01,981.88,986.67,979.69,985.92,1232804
2025-12-02,988.4,988.94,978.02,983.37,1400602
2025-12-03,982.24,984.01,972.62,977.29,1849167
2025-12-04,979.24,986.36,973.06,985.47,1667212
2025-12-05,989.43,991.18,966.62,970.74,1579856
2025-12-08,969.27,973.56,958.97,960.16,574830
2025-12-09,962.03,965.87,953.5,955.69,969956
2025-12-10,952.66,952.75,949.05,951.29,1330673
2025-12-11,951.58,952.31,948.07,949.49,303488
2025-12-12,954.25,956.94,945.07,948.47,1894358
2025-12-15,946.35,954.95,943.2,954.14,1416128
2025-12-16,954.54,958.54,940.06,943.04,1416831
2025-12-17,940.82,970.49,934.47,961.79,1340787
2025-12-18,963.6,965.9,960.94,964.94,1061563
2025-12-19,965.65,966.86,951.9,958.76,1682320
2025-12-22,956.11,960.5,953.31,953.96,1071652
2025-12-23,952.09,954.11,943.77,949.79,1212580
2025-12-24,948.92,950.09,931.72,934.0,1193302
2025-12-25,934.16,937.77,932.47,935.69,258768
2025-12-26,938.29,941.41,926.03,927.47,650064
2025-12-29,927.34,933.67,921.83,923.02,743358
2025-12-30,927.05,931.21,905.43,915.02,938339
2025-12-31,915.96,920.76,899.8,910.27,1205580
2026-01-01,914.59,914.72,909.27,909.52,1188037
2026-01-02,909.66,911.57,897.18,900.42,412294
2026-01-05,898.9,909.79,894.07,909.08,862625
2026-01-06,910.45,911.65,896.12,900.05,1493129
2026-01-07,900.74,905.61,894.8,896.02,605802
2026-01-08,897.29,901.38,893.02,894.96,326182
2026-01-09,895.77,903.25,894.82,897.96,1178942
2026-01-12,899.42,902.85,889.25,898.38,1552063
2026-01-13,897.05,898.09,893.99,897.68,1034777
2026-01-14,899.34,903.08,898.06,899.83,1147682
2026-01-15,899.14,904.09,890.83,901.21,1529946
2026-01-16,902.57,904.81,889.9,894.12,1708109
2026-01-19,896.56,898.25,893.63,896.78,1114332
2026-01-20,898.66,901.56,888.38,891.7,1650122
2026-01-21,893.13,894.53,882.58,883.52,448421
2026-01-22,884.02,888.8,879.26,881.92,1837912
2026-01-23,880.34,881.59,877.74,877.78,1695481
2026-01-26,877.32,880.06,874.38,878.22,1283967
2026-01-27,875.41,883.5,875.28,878.97,1048655
2026-01-28,877.76,879.04,867.28,874.18,710109
2026-01-29,870.72,876.4,870.44,875.04,1596803
2026-01-30,875.03,876.66,869.89,873.59,1122289
2026-02-02,872.72,876.02,858.77,862.54,581505
2026-02-03,861.2,878.07,857.28,870.79,1738436
2026-02-04,872.91,874.13,869.55,869.66,806702
2026-02-05,870.34,872.16,864.27,867.62,1170084
2026-02-06,866.68,875.81,861.25,871.69,1828174
2026-02-09,870.58,873.01,858.16,862.01,1172741
2026-02-10,862.48,862.51,856.45,856.74,1966725
2026-02-11,856.85,869.25,855.08,861.22,1507098
2026-02-12,859.97,860.69,844.2,848.54,205190
2026-02-13,847.08,850.34,838.2,842.33,509656
2026-02-16,842.45,851.42,840.87,850.96,423076
2026-02-17,854.42,857.87,852.0,853.39,1340408
2026-02-18,849.02,849.71,843.44,846.38,1026849
2026-02-19,849.27,854.51,842.58,845.56,1875329
2026-02-20,844.7,853.38,844.38,848.83,884018
2026-02-23,847.64,847.66,840.93,843.01,1926176
2026-02-24,845.51,847.21,838.25,842.01,1594452
2026-02-25,843.7,844.56,839.68,842.96,1687524
2026-02-26,844.59,850.86,841.87,842.11,1159568
2026-02-27,842.02,853.14,840.44,850.04,1308760
2026-03-02,850.83,855.6,848.53,849.62,327704
2026-03-03,848.23,850.72,845.95,847.62,340613
2026-03-04,844.0,851.24,843.04,847.89,1144716
2026-03-05,847.95,848.33,844.1,844.56,1436379
2026-03-06,845.32,849.21,834.48,838.72,1614685
2026-03-09,839.38,840.77,832.81,836.3,721493
