Date,Open,High,Low,Close,Volume
2025-10-01,3597.79,3601.86,3589.23,3600.0,855604
2025-10-02,3601.14,3634.69,3583.55,3595.48,1384613
2025-10-03,3601.02,3622.65,3598.43,3621.26,1011555
2025-10-06,3614.31,3641.3,3602.57,3638.4,808895
2025-10-07,3635.02,3669.24,3632.5,3655.1,1228244
2025-10-08,3638.61,3700.57,3631.18,3698.05,1296135
2025-10-09,3699.4,3708.7,3639.63,3657.95,1124666
2025-10-10,3664.98,3671.85,3616.63,3635.21,1850015
2025-10-13,3643.51,3644.34,3583.73,3592.44,1098010
2025-10-14,3593.61,3614.76,3563.8,3585.04,523494
2025-10-15,3583.04,3621.81,3576.25,3609.38,1308949
2025-10-16,3607.16,3609.59,3601.16,3604.41,1064297
2025-10-17,3608.59,3636.84,3595.18,3614.39,1355737
2025-10-20,3610.4,3619.23,3537.24,3554.8,1205337
2025-10-21,3552.87,3555.64,3546.44,3554.72,1160959
2025-10-22,3559.21,3559.37,3496.87,3524.66,1685414
2025-10-23,3528.78,3573.43,3523.3,3570.49,1095990
2025-10-24,3574.66,3605.72,3561.84,3591.54,620026
2025-10-27,3592.65,3629.42,3575.47,3614.51,696312
2025-10-28,3610.21,3617.55,3592.9,3608.49,1409318
2025-10-29,3611.99,3632.09,3607.11,3621.86,609788
2025-10-30,3611.24,3648.63,3608.75,3636.57,252229
2025-10-31,3638.65,3674.24,3614.51,3622.19,1020133
2025-11-03,3615.94,3620.27,3602.56,3603.43,1060147
2025-11-04,3604.2,3617.78,3584.06,3595.8,649095
2025-11-05,3593.29,3612.73,3569.65,3574.07,1087682
2025-11-06,3569.15,3577.92,3545.94,3552.78,1124248
2025-11-07,3564.07,3569.11,3534.75,3540.47,305446
2025-11-10,3546.01,3556.32,3499.15,3515.59,1069923
2025-11-11,3519.01,3548.91,3487.24,3532.92,326017
2025-11-12,3528.83,3547.42,3479.25,3483.57,705640
2025-11-13,3496.62,3508.19,3490.52,3502.34,1246993
2025-11-14,3502.78,3508.29,3450.99,3480.61,967808
2025-11-17,3495.56,3503.34,3443.23,3461.23,1028253
2025-11-18,3458.26,3466.04,3414.11,3419.67,1237471
2025-11-19,3416.62,3418.48,3394.18,3411.62,1487984
2025-11-20,3391.89,3406.14,3380.29,3400.77,760353
2025-11-21,3397.83,3417.07,3391.05,3401.9,559045
2025-11-24,3392.11,3399.3,3375.71,3383.29,474644
2025-11-25,3390.15,3403.68,3365.04,3381.77,945274
2025-11-26,3382.89,3436.68,3382.62,3426.94,339242
2025-11-27,3435.17,3442.96,3411.48,3434.04,1379388
2025-11-28,3427.74,3445.32,3395.24,3414.16,972023
2025-12-01,3408.07,3449.77,3403.55,3436.09,1910946
2025-12-02,3431.97,3443.0,3410.06,3428.43,1413497
2025-12-03,3443.0,3446.07,3432.18,3440.6,395995
2025-12-04,3436.01,3463.2,3418.86,3453.34,1817070
2025-12-05,3453.75,3462.57,3436.47,3438.39,371697
2025-12-08,3439.61,3449.42,3364.06,3381.17,1790760
2025-12-09,3377.72,3381.79,3358.08,3367.71,598623
2025-12-10,3368.46,3403.39,3361.07,3378.53,1262494
2025-12-11,3371.37,3373.28,3359.53,3364.2,1941495
2025-12-12,3358.62,3374.65,3348.25,3371.97,1570583
2025-12-15,3376.95,3404.64,3365.42,3394.35,651376
2025-12-16,3387.66,3390.37,3370.9,3375.5,1612234
2025-12-17,3374.16,3407.57,3373.75,3404.7,568449
2025-12-18,3411.41,3448.64,3408.78,3444.79,1858734
2025-12-19,3437.47,3487.68,3432.55,3470.4,1643108
2025-12-22,3477.01,3524.72,3472.25,3498.59,915773
2025-12-23,3511.34,3529.75,3504.86,3525.09,1899795
2025-12-24,3545.21,3595.49,3531.27,3584.44,483357
2025-12-25,3581.18,3593.02,3573.05,3585.47,1294523
2025-12-26,3605.12,3620.33,3574.32,3581.22,611608
2025-12-29,3581.05,3603.77,3572.72,3594.2,1223909
2025-12-30,3590.21,3608.35,3557.04,3563.78,231260
2025-12-31,3569.14,3584.51,3506.21,3515.22,1810360
2026-01-01,3523.62,3542.32,3475.82,3486.2,1162863
2026-01-02,3481.3,3511.59,3462.89,3492.4,769668
2026-01-05,3484.69,3507.7,3469.4,3501.43,1454833
2026-01-06,3497.56,3507.25,3438.91,3454.19,1476183
2026-01-07,3466.6,3482.86,3390.61,3398.0,799642
2026-01-08,3388.77,3393.41,3378.12,3385.33,835884
2026-01-09,3380.2,3380.5,3365.59,3376.17,931837
2026-01-12,3385.24,3385.31,3356.33,3370.79,1065724
2026-01-13,3359.1,3385.94,3349.44,3384.85,455058
2026-01-14,3379.44,3415.5,3374.89,3414.07,1623674
2026-01-15,3416.33,3432.45,3414.55,3416.28,1947298
2026-01-16,3420.01,3433.56,3418.71,3428.92,1483317
2026-01-19,3427.68,3437.14,3387.31,3394.76,1491805
2026-01-20,3384.42,3392.32,3355.44,3358.74,1417432
2026-01-21,3360.4,3362.6,3352.27,3361.06,1503882
2026-01-22,3367.04,3404.92,3361.44,3374.9,454097
2026-01-23,3373.09,3391.06,3356.06,3390.46,1947025
2026-01-26,3386.37,3422.76,3379.07,3402.47,1011569
2026-01-27,3397.21,3424.0,3375.14,3419.73,1907779
2026-01-28,3418.14,3444.0,3401.24,3437.78,483956
2026-01-29,3431.37,3433.4,3385.37,3385.47,1900587
2026-01-30,3380.14,3385.37,3348.36,3361.52,1773766
2026-02-02,3359.59,3374.86,3352.62,3369.73,735016
2026-02-03,3376.41,3391.73,3372.18,3381.77,1580587
2026-02-04,3380.82,3385.33,3322.81,3336.8,540232
2026-02-05,3340.37,3369.25,3321.87,3364.11,1214289
2026-02-06,3364.47,3366.63,3332.31,3348.26,886031
2026-02-09,3352.48,3357.04,3334.5,3338.02,806702
2026-02-10,3342.84,3349.21,3339.89,3341.33,1052362
2026-02-11,3346.68,3369.73,3341.46,3357.36,960337
2026-02-12,3360.99,3368.66,3303.69,3314.83,1599085
2026-02-13,3315.47,3345.1,3298.3,3337.11,419227
2026-02-16,3342.9,3354.78,3320.48,3335.17,1254862
2026-02-17,3340.19,3343.42,3292.89,3310.6,495248
2026-02-18,3307.99,3320.9,3294.59,3299.33,1403072
2026-02-19,3282.45,3286.47,3227.24,3237.68,1402755
2026-02-20,3246.42,3264.56,3211.37,3217.02,927258
2026-02-23,3220.45,3233.6,3211.4,3217.84,558085
2026-02-24,3225.19,3247.38,3194.6,3195.73,1379654
2026-02-25,3198.4,3211.87,3172.62,3183.51,404141
2026-02-26,3187.6,3194.84,3174.78,3175.95,957674
2026-02-27,3167.52,3179.4,3163.44,3173.37,1729244
2026-03-02,3169.32,3201.16,3164.13,3195.47,395981
2026-03-03,3203.45,3208.01,3187.66,3191.0,477149
2026-03-04,3194.71,3227.4,3179.77,3180.53,1472328
2026-03-05,3183.23,3198.9,3176.95,3190.42,935855
2026-03-06,3189.62,3254.13,3179.87,3239.6,976987
2026-03-09,3233.73,3241.24,3206.89,3226.83,1729462
2026-03-10,3226.0,3237.45,3204.42,3236.19,1492320
2026-03-11,3231.67,3251.18,3189.07,3191.47,346456
2026-03-12,3181.28,3229.48,3175.62,3222.0,1033769
2026-03-13,3216.35,3242.29,3203.18,3235.13,1947999
2026-03-16,3225.25,3278.11,3220.92,3265.74,388452
2026-03-17,3260.06,3271.43,3245.81,3260.28,861866
2026-03-18,3267.49,3284.04,3225.45,3229.17,1172168
2026-03-19,3227.2,3250.31,3226.71,3248.18,745058
2026-03-20,3244.0,3280.93,3235.48,3263.87,919498
2026-03-23,3264.12,3282.51,3235.55,3237.31,605250
2026-03-24,3241.94,3246.86,3181.09,3195.28,797637
2026-03-25,3194.86,3206.68,3191.76,3202.92,1316116
2026-03-26,3208.36,3216.71,3190.64,3194.69,988963
2026-03-27,3195.51,3262.49,3185.16,3257.62,397723
2026-03-30,3264.01,3276.95,3232.04,3237.7,576245
2026-03-31,3241.13,3260.89,3201.59,3220.12,772424
2026-04-01,3216.36,3230.24,3184.04,3213.41,1106267
2026-04-02,3208.38,3213.92,3151.28,3166.75,1996438
2026-04-03,3158.84,3163.77,3140.11,3140.42,1918196
2026-04-06,3139.61,3190.45,3134.35,3177.96,1279479
2026-04-07,3179.55,3183.14,3166.47,3170.81,1931269
2026-04-08,3159.98,3163.17,3137.09,3151.57,1897956
2026-04-09,3148.34,3154.16,3105.27,3115.72,940906
2026-04-10,3124.84,3130.09,3115.15,3126.45,1367392
2026-04-13,3130.04,3150.82,3115.01,3139.17,280409
2026-04-14,3138.5,3143.54,3121.2,3141.84,1733010
2026-04-15,3138.38,3146.56,3134.09,3146.2,855696
2026-04-16,3140.4,3181.26,3116.74,3168.04,1217212
2026-04-17,3166.95,3195.15,3162.4,3191.97,956282
2026-04-20,3189.21,3193.13,3178.09,3188.95,1004407
2026-04-21,3174.04,3238.79,3160.25,3219.18,1550923
2026-04-22,3209.9,3226.34,3164.22,3179.18,1566127
2026-04-23,3183.94,3185.14,3148.85,3160.71,562814
2026-04-24,3156.31,3184.25,3146.3,3167.24,1289334
2026-04-27,3165.68,3202.22,3144.51,3178.75,686047
2026-04-28,3183.37,3208.72,3155.24,3163.45,1885078
2026-04-29,3173.2,3203.25,3147.71,3186.0,1157858
2026-04-30,3195.71,3239.44,3190.95,3227.24,322077
2026-05-01,3221.36,3257.67,3218.56,3253.41,1741009
2026-05-04,3246.38,3295.41,3233.96,3273.89,895009
2026-05-05,3268.43,3326.18,3262.53,3310.32,1807512
2026-05-06,3310.15,3342.39,3308.27,3335.93,302822
2026-05-07,3334.02,3347.45,3306.69,3320.45,976276
2026-05-08,3322.56,3344.18,3321.27,3330.01,1440261
2026-05-11,3327.07,3399.01,3321.69,3379.4,1078182
2026-05-12,3379.12,3384.5,3361.19,3363.85,1617053
2026-05-13,3362.88,3388.48,3354.01,3380.67,536478
2026-05-14,3389.53,3401.54,3383.12,3385.36,1187790
2026-05-15,3388.44,3399.31,3368.79,3376.27,1267186
2026-05-18,3385.95,3387.05,3354.05,3364.14,788895
2026-05-19,3367.9,3393.77,3356.89,3382.0,1107281
2026-05-20,3388.21,3405.77,3367.53,3405.75,1853443
2026-05-21,3401.15,3435.39,3390.82,3429.5,300594
2026-05-22,3437.65,3448.8,3377.66,3405.25,1687517
2026-05-25,3406.8,3413.26,3402.05,3412.71,1573094
2026-05-26,3420.84,3444.44,3416.73,3437.51,369582
2026-05-27,3435.23,3490.07,3433.46,3479.01,843985
2026-05-28,3491.16,3534.83,3485.54,3513.39,1037642
2026-05-29,3506.18,3555.49,3488.89,3552.57,1516662
