Date,Open,High,Low,Close,Volume
2025-10-01,479.49,481.65,478.36,480.0,1705592
2025-10-02,480.35,480.98,478.72,478.93,587850
2025-10-03,479.23,483.94,478.32,481.79,1599865
2025-10-06,481.26,484.56,479.41,482.99,331540
2025-10-07,482.09,482.95,480.31,481.2,1367601
2025-10-08,482.75,484.74,481.25,483.14,1285352
2025-10-09,484.46,486.88,477.9,478.94,697576
2025-10-10,479.06,483.25,476.84,480.64,1309368
2025-10-13,480.87,481.93,478.37,479.02,797713
2025-10-14,478.85,484.54,476.63,480.84,1490992
2025-10-15,481.53,484.23,477.94,482.11,1476211
2025-10-16,483.52,484.33,477.95,479.89,1579603
2025-10-17,479.71,484.13,474.83,481.41,476928
2025-10-20,481.69,486.34,479.69,482.4,219652
2025-10-21,482.71,483.91,479.71,480.53,674285
2025-10-22,479.97,487.55,478.39,486.29,1995664
2025-10-23,486.43,490.78,484.82,488.63,576226
2025-10-24,489.06,492.79,485.11,485.17,813710
2025-10-27,483.9,486.91,479.66,482.29,757764
2025-10-28,482.41,486.43,481.6,483.21,946141
2025-10-29,485.24,486.59,482.86,484.11,615139
2025-10-30,483.79,487.74,480.23,482.0,1393920
2025-10-31,480.53,485.9,480.33,485.52,574772
2025-11-03,483.8,485.9,481.56,485.8,1537412
2025-11-04,486.67,487.15,482.16,483.29,1816703
2025-11-05,484.94,485.09,481.06,482.2,1313317
2025-11-06,481.33,482.42,478.8,481.68,834898
2025-11-07,479.93,482.99,473.72,477.19,1391960
2025-11-10,478.23,478.71,471.18,474.81,410753
2025-11-11,475.11,475.77,468.48,469.66,553012
2025-11-12,469.6,470.47,468.3,468.83,577821
2025-11-13,468.83,472.44,466.16,470.55,595893
2025-11-14,469.79,473.03,464.72,466.92,1073797
2025-11-17,467.59,468.13,467.22,467.82,1171376
2025-11-18,467.13,468.3,463.84,464.5,1057054
2025-11-19,463.95,465.69,460.78,464.05,1929809
2025-11-20,465.21,466.3,461.04,462.61,823599
2025-11-21,463.13,463.15,456.76,459.25,1155631
2025-11-24,461.07,463.17,457.56,457.73,1894461
2025-11-25,456.71,456.97,452.2,454.37,1318226
2025-11-26,455.43,457.79,450.99,455.17,958697
2025-11-27,454.5,457.98,452.46,455.29,1118716
2025-11-28,457.63,459.67,457.42,458.57,662646
2025-12-01,459.25,460.06,452.77,454.55,443747
2025-12-02,456.42,459.56,455.03,457.53,217042
2025-12-03,458.79,461.28,456.75,457.31,1963414
2025-12-04,457.34,460.57,455.78,458.42,244050
2025-12-05,459.8,460.42,457.86,457.9,656881
2025-12-08,459.45,463.9,458.33,462.15,1488023
2025-12-09,462.59,468.78,461.59,466.0,1741879
2025-12-10,465.43,473.41,465.02,468.99,1179984
2025-12-11,467.71,471.22,467.65,469.72,1825285
2025-12-12,469.18,470.57,462.52,463.13,861569
2025-12-15,463.35,466.95,462.49,464.67,906439
2025-12-16,463.63,466.2,461.3,464.58,1807157
2025-12-17,465.61,466.1,462.52,464.21,1893728
2025-12-18,465.01,466.13,463.86,465.42,1301812
2025-12-19,465.99,469.77,463.85,468.75,704101
2025-12-22,469.72,471.85,465.29,469.5,579967
2025-12-23,471.39,471.73,466.56,468.19,1164948
2025-12-24,469.1,470.69,464.71,466.0,742764
2025-12-25,466.64,468.2,465.96,467.04,296490
2025-12-26,467.79,472.7,466.57,470.12,1131982
2025-12-29,471.6,471.84,470.32,471.66,1447783
2025-12-30,471.4,473.97,468.29,472.96,438935
2025-12-31,473.04,477.07,471.45,471.68,1159028
2026-01-01,471.88,472.52,467.45,468.18,1742009
2026-01-02,467.32,472.03,464.8,470.84,1821870
2026-01-05,471.53,473.48,470.23,472.55,795592
2026-01-06,472.77,472.78,466.98,467.37,1291217
2026-01-07,466.92,468.26,464.42,465.36,217044
2026-01-08,464.4,470.54,461.45,468.15,1996148
2026-01-09,467.28,471.37,465.46,471.15,272617
2026-01-12,470.1,470.96,469.08,469.34,1459479
2026-01-13,469.37,476.58,468.48,475.69,1402123
2026-01-14,475.15,481.38,474.97,479.69,1620136
2026-01-15,478.47,483.24,477.82,482.44,220207
2026-01-16,483.21,483.8,481.88,482.07,1955830
2026-01-19,481.88,484.7,476.95,478.04,1689420
2026-01-20,478.42,482.02,478.05,480.37,1812505
2026-01-21,481.95,485.99,480.17,485.5,713847
2026-01-22,485.8,488.38,484.52,488.16,1154991
2026-01-23,488.43,489.62,483.54,485.0,936407
2026-01-26,484.13,491.17,483.22,488.31,600782
2026-01-27,488.27,488.78,486.36,486.37,530386
2026-01-28,487.03,487.04,477.93,479.95,1726357
2026-01-29,479.41,481.19,477.76,480.87,1956926
2026-01-30,482.88,484.24,471.31,473.05,225236
2026-02-02,473.65,474.85,472.1,473.37,1070170
2026-02-03,475.08,477.51,474.44,476.25,1328337
2026-02-04,476.17,480.44,475.66,479.22,307960
2026-02-05,479.89,487.96,477.63,487.04,730102
2026-02-06,487.21,489.7,485.28,489.0,734223
2026-02-09,488.83,489.36,485.75,486.11,565925
2026-02-10,487.47,489.32,485.18,487.91,1763679
2026-02-11,488.89,490.84,488.75,489.9,1396061
2026-02-12,490.39,490.92,487.36,488.18,1259281
2026-02-13,487.27,490.13,480.26,483.06,1125447
2026-02-16,482.64,482.64,481.05,481.97,1318023
2026-02-17,481.16,482.02,479.41,479.97,1737562
2026-02-18,480.55,481.82,478.04,478.82,1075592
2026-02-19,479.09,479.87,477.05,478.28,719931
2026-02-20,477.33,481.43,476.52,480.45,622630
2026-02-23,481.13,482.27,478.5,482.16,1081407
2026-02-24,484.23,487.43,483.83,486.29,1716849
2026-02-25,486.07,488.08,484.52,484.76,852488
2026-02-26,484.84,489.69,484.71,487.39,1737217
2026-02-27,490.06,490.92,480.08,482.29,1459550
2026-03-02,482.63,486.61,481.26,482.36,1252826
2026-03-03,481.08,482.46,476.75,477.78,1943368
2026-03-04,476.79,477.14,475.08,475.24,1147372
2026-03-05,474.88,479.41,473.55,478.22,495510
2026-03-06,477.19,480.33,474.95,475.49,319066
