date,strategy,pnl
2024-02-01,NIFTY_expiry_sample,1805.17
2024-02-02,SENSEX_expiry_sample,3054.73
2024-02-05,NIFTY_expiry_sample,648.62
2024-02-06,SENSEX_expiry_sample,-1940.49
2024-02-07,NIFTY_expiry_sample,-109.62
2024-02-08,SENSEX_expiry_sample,-2364.92
2024-02-09,NIFTY_expiry_sample,2052.6
2024-02-12,SENSEX_expiry_sample,7428.9
2024-02-13,NIFTY_expiry_sample,-267.27
2024-02-14,SENSEX_expiry_sample,-805.99
2024-02-15,NIFTY_expiry_sample,-5785.51
2024-02-16,SENSEX_expiry_sample,2242.74
2024-02-19,NIFTY_expiry_sample,-2107.97
2024-02-20,SENSEX_expiry_sample,1677.14
2024-02-21,NIFTY_expiry_sample,4720.27
2024-02-22,SENSEX_expiry_sample,-3845.7
2024-02-23,NIFTY_expiry_sample,-121.99
2024-02-26,SENSEX_expiry_sample,-6185.14
2024-02-27,NIFTY_expiry_sample,-3616.06
2024-02-28,SENSEX_expiry_sample,-5935.29
2024-02-29,NIFTY_expiry_sample,812.62
2024-03-01,SENSEX_expiry_sample,-3523.28
2024-03-04,NIFTY_expiry_sample,-5625.4
2024-03-05,SENSEX_expiry_sample,1014.89
2024-03-06,NIFTY_expiry_sample,-8770.39
2024-03-07,SENSEX_expiry_sample,-462.51
2024-03-08,NIFTY_expiry_sample,1596.3
2024-03-11,SENSEX_expiry_sample,2275.9
2024-03-12,NIFTY_expiry_sample,-4626.57
2024-03-13,SENSEX_expiry_sample,-206.56
2024-03-14,NIFTY_expiry_sample,-2309.78
2024-03-15,SENSEX_expiry_sample,-1597.12
2024-03-18,NIFTY_expiry_sample,6255.77
2024-03-19,SENSEX_expiry_sample,-1591.65
2024-03-20,NIFTY_expiry_sample,1663.41
2024-03-21,SENSEX_expiry_sample,-5033.12
2024-03-22,NIFTY_expiry_sample,1330.85
2024-03-25,SENSEX_expiry_sample,2263.95
2024-03-26,NIFTY_expiry_sample,2067.88
2024-03-27,SENSEX_expiry_sample,-3345.23
2024-03-28,NIFTY_expiry_sample,2119.79
2024-03-29,SENSEX_expiry_sample,7507.06
2024-04-01,NIFTY_expiry_sample,-4698.01
2024-04-02,SENSEX_expiry_sample,5409.41
2024-04-03,NIFTY_expiry_sample,2301.29
2024-04-04,SENSEX_expiry_sample,-894.18
2024-04-05,NIFTY_expiry_sample,10201.75
2024-04-08,SENSEX_expiry_sample,5001.49
